Title,Memory Mapper Title (keywords to identify the project) (should include the research content,Project Location - In London ,Date,Link,Identification- DOI/URL/ISBN/Reference no.,  Authors,London Authors,Other Author (National+International),Department,Abstract,Partners,Partnership Location - In London,Policy Sources////Citations ( from Overton) ,Policy source subcategory,Partnership 1,Partnership 2,Partnership 3,Partnership 4,Filter 2 (Themes) ,Funder 1,Funder 2,Funder 3,Source,Output type
Ars Electronica ‘London Garden of Heterotopias',The London Garden of Heterotopias,Bartlett School of Architecture,,https://ars.electronica.art/keplersgardens/en/garden-of-heterotopias/?selectcats=&selecttags=,,"Zisch F, Glynn R",,,"Bartlett School of Architecture (51.525972,-0.132386)","In Technology and the Lifeworld: from garden to earth Don Ihde discusses how life in a mythical Garden of Eden would not be human life without technology. Things and artifacts make life and form an integral part of the ontological trinity of human-technology-world.
We are faced with unprecedented challenges in an entangled ecological emergency and must radically and immediately take action to preserve the planet’s very existence. Technology and the arts play an integral part and hold potential to engender change. The Bartlett School of Architecture, along with its partners, centers its contribution to Ars Electronica around arts and technologies of care in a Garden of Heterotopias to create an environment of inclusion and inspection.",,,,,,,,,,,,,RPS,Exhibition
"London Developers Toolkit at Serious Fun. Architecture & Games, Architekturzentrum Wien",London Developers Toolkit,"Exhibition Serious Fun at Architekturzentrum Wien, Vienna ",,https://www.youandpea.com/london-developers-toolkit,,"Pearson L, Youkhana S",,,"Bartlett School of Architecture (51.525972,-0.132386)","A 'satirical app' / renegade startup platform investigating the burgeoning skyline of phallic residential developments across London - targeted at the unfeasibly wealthy. The app asks users to produce 'napkin sketches' and parametricize their architecture, allowing someone of limited formal training to produce their own totemic structure. The Toolkit also provides a facility for the production of rich and visually evocative promotional material to capture the hearts and minds of potential investors.

This game has also been developed into the design of an interactive gallery installation where visitors can play the game, produce their own skyscrapers, and use the app to print their own glossy posters, uploading these online through social media.",,,,,,,,,,,,,RPS,Exhibition
Open House: Bartlett Interactions,Open House: Bartlett Interactions,UCL Here East,2022,https://www.ucl.ac.uk/bartlett/architecture/events/2022/jun/open-house-bartlett-interactions,,"Zisch F, Parker B, Scully P, Lacatusu A, Cruz M",,,"Bartlett School of Architecture (51.525972,-0.132386)","This open house event is a celebration of new forms of practice from The Bartlett School of Architecture as part of the London Festival of Architecture. 

Bartlett Interactions will enable visitors to experience the environment facilitating work in progress from the three interdisciplinary postgraduate programmes located at UCL Here East. Taking the London Festival of Architecture theme of “Act” the open house will show how The Bartlett’s vision of architecture will contribute to our future built environment.

UCL Here East’s vision of design that centres on performance and interaction, manufacturing and bio-integration. Visitors will have the opportunity to have conversations and engage with our work. During the afternoon, there will be regular tours of the studio, workshop and laboratory facilities that underpin our activities.",,,,,,,,,,,,,RPS,Exhibition
Bartlett Transitions' London Festival of Architecture,Bartlett Transitions' London Festival of Architecture,UCL at Here East,2023,https://www.ucl.ac.uk/bartlett/architecture/events/2023/jun/bartlett-transitions,,"Zisch F, Salmane AK, Tyrrell J, Scully P, Parker B, Cruz M",,,"Bartlett School of Architecture (51.525972,-0.132386)","The Bartlett School of Architecture postgraduate programmes located at UCL Here East are linked by their aspiration to transition to a more sustainable, equitable and enticing future. Part of London Festival of Architecture the student and staff community will open their doors for an afternoon of celebration showcasing their current and work-in-progress research projects as they share their ideas and visions. Get the chance to experience a unique space filled with captivating work spanning across themes of bio-integrated design, future materiality, interactive design, and digital manufacturing. 

Explore our cutting-edge facilities and engage in discussions with students, teaching and research professionals involved in research that seeks to address issues linked to some of the most challenging aspects of the contemporary world.",,,,,,,,,,,,,RPS,Exhibition
"House Block, UCL Culture: Public Art and Community Engagement in East London 2021",Public Art and Community Engagement in East London 2021,UCL Main Campus ,2021,https://www.ucl.ac.uk/ucl-east/sites/ucl_east/files/ucl_public_art_and_community_engagement_in_east_london_2021_booklet_updated_2.pdf,,"McAndrew C, Claypool M",,,"Bartlett School of Architecture (51.525972,-0.132386)","Designed and developed by Jordan Abankwah, Public Art and Community Engagement assistant from the STEP programme, the display demonstrates how bringing together world-class research and teaching at UCL, together with creativity and the skills and experiences of our local communities in east London, can create meaningful and life-changing impact. 

Among others, it features Trellis an artist-researcherknowledge exchange project, City Mill Skate, the Newham Youth Map, A research project between the Institute for Global Prosperity and Money A+E, Windrush Cricket, as well as numerous other projects funded through the Community Engagement Seed Fund, and Listen and Respond. 

Sam Wilkinson, Head of Public Art at UCL, said: ""I hope this exhibition will, in a small way, reflect how we seek to work in partnership with east London communities and our new neighbours on the Queen Elizabeth Olympic Park.",,,,,,,,,,,,,RPS,Exhibition
"The Pleasure of Treasure, a self-guided walking tour of King's Cross",,"King's Cross (51.5323954, -0.1230224)",,,,"Penner B, Pile S, Rendell J, LaBelle B",,,,,,,,,,,,,,,,,RPS,Other
"The Politics Programme, BBC London",,,,,,Tewdwr-Jones M,,,,,,,,,,,,,,,,,RPS,Other
"Virtual London - BBC Radio London, The Robert Elms Show",,,,,,"Hudson-Smith A, Batty M",,,,,,,,,,,,,,,,,RPS,Other
BBC London TV - News,,,,,,Williams J,,,,,,,,,,,,,,,,,RPS,Other
BBC London News,,,,,,Williams J,,,,,,,,,,,,,,,,,RPS,Other
Save the Southbank (interview as part of documentary film),,,,,,Borden I,,,,,,,,,,,,,,,,,RPS,Other
"‘Anamorphosis’, National Gallery, London podcast",,,,,,Steadman P,,,,,,,,,,,,,,,,,RPS,Other
The London Suburbs Profiler,,,,http://www.sstc.ucl.ac.uk/profiler/profiler.php,,"Vaughan LS, Haklay M, Jones CE, Griffiths S",,,,"As part of the Successful Suburban Town Centres project (SSTC), the project team has been developing an internet-based tool to enable cartographic exploration of the 26 sample centres which are being investigated.",,,,,,,,,,,,,RPS,Other
"Review of: City Publics: The (Dis)Enchantments of Urban Encounters, by S Watson, 2006,  London, Routledge, 194pp",,,,,,DE MAGALHAES C,,,,,,,,,,,,,,,,,RPS,Other
"Review of: Urban Regeneration: A Handbook, by  P Roberts and H Sykes (eds.), 2000, London: Sage & BURA, 320 pp",,,,,,DE MAGALHAES C,,,,,,,,,,,,,,,,,RPS,Other
"Review of: Cities in Transition: New challenges, New Responsibilities, by B Blanke and R Smith (eds.), 1999, London: Macmillan, 272pp",,,,,,DE MAGALHAES C,,,,,,,,,,,,,,,,,RPS,Other
"Review of: A Sociology of Energy, Buildings and the Environment: Constructing Knowledge, Designing Practice, by S Guy and E Shove, 2000, London: Routledge, 164pp",,,,,,DE MAGALHAES C,,,,,,,,,,,,,,,,,RPS,Other
"Interpreting Dystopian London - Metro Newspaper, UK",,,,,,Allfree C,,,,,,,,,,,,,,,,,RPS,Other
London for all: A handbook for community and small business groups fighting to retain workspace for London’s diverse economies,,,,,,"Austin H, Besussi E, Burgos C, Spencer-Davies C, Conn E, Turner G, Diaconescu I, Nicolson K, Ferm J, Taylor M, Edwards M, Rogers L, Ball M, Roman P, Rowe P, Laurence R, Lee R, Brown R, Tindle R, Penny S, Wallis S",,,,,,,,,,,,,,,,,RPS,Other
Elegant Nursery in a North London Park Wins 2013 Stephen Lawrence Prize,,,,,,RIBA,,,,,,,,,,,,,,,,,RPS,Other
RIBA hand-picks six cutting edge architects to transform store windows along London's busiest shopping street for three weeks,,,,,,Disson S,,,,,,,,,,,,,,,,,RPS,Other
BBC4 Woman's Hour on Arab Women in London 2012,,,,https://sehlikoglumediaappearances.blogspot.com/2018/01/bbc4-womans-hour.html,,Murray J,,,,,,,,,,,,,,,,,RPS,Other
"London 2012: Jews, Sikhs, Hindus root for fellow believers in Olympics",,,,https://sehlikoglumediaappearances.blogspot.com/2018/01/london-2012-jews-sikhs-hindus-root-for.html,,Sacirbey O,,,,,,,,,,,,,,,,,RPS,Other
Where to for Somali State-Building Since London and Istanbul Conferences?,,,,,,Walls M,,,,,,,,,,,,,,,,,RPS,Internet publication
"CIBSE School Design Group Bulletin No.1, 18 pages, June 2008, London (electronic version accessible via CIBSE website)",,,,,,Mumovic D,,,,,,,,,,,,,,,,,RPS,Internet publication
"CIBSE School Design Group Bulletin No.2, 18 pages, February 2009, London (electronic version accessible via CIBSE website)",,,,,,Mumovic D,,,,,,,,,,,,,,,,,RPS,Internet publication
"CIBSE School Design Group Bulletin No.3, 48 pages, June 20010, London (electronic version accessible via CIBSE website)",,,,,,Mumovic D,,,,,,,,,,,,,,,,,RPS,Internet publication
"CIBSE School Design Group Bulletin No.4, 54 pages, June 2011, London (electronic version accessible via CIBSE website)",,,,,,Mumovic D,,,,,,,,,,,,,,,,,RPS,Internet publication
"CIBSE School Design Group Bulletin No.5, 54 pages, June 2013, London (electronic version accessible via CIBSE website)",,,,,,Mumovic D,,,,,,,,,,,,,,,,,RPS,Internet publication
Derek Jarman's King's Cross,,"King's Cross (51.5323954, -0.1230224)",,,,Campkin B,,,,,,,,,,,,,,,,,RPS,Internet publication
London's skyline and the new wave of skyscrapers,,,,,,Short MJ,,,,,,,,,,,,,,,,,RPS,Internet publication
London's new skyscrapers,,,,,,Short MJ,,,,,,,,,,,,,,,,,RPS,Internet publication
To Solve London’s Housing Crisis we need to Think Small – and Empower Planners,,,,,,Carmona MP,,,,,,,,,,,,,,,,,RPS,Internet publication
"Thinking Small to Think Big, Addressing London’s Housing Crisis",,,,,,Carmona MP,,,,,,,,,,,,,,,,,RPS,Internet publication
Beyond the post-industrial city: Valuing and Planning for Industry in London,,,,,,"Ferm J, Jones E",,,,,,,,,,,,,,,,,RPS,Internet publication
Spotlight: Prime London & Country,,,,,,Barnes Y,,,,,,,,,,,,,,,,,RPS,Internet publication
Financialisation and urban densification: London and Manchester’s niche student housing markets.,,,,,,"Fiorentino S, Livingstone N, Short M",,,,,,,,,,,,,,,,,RPS,Internet publication
The effect of forthcoming housing policy changes on social-tenant employment and the London economy: Final report for Camden Council,,"Camden (51.5308496004301, -0.124745902031093)",,,,"Scanlon K, Whitehead C, Edge A",,,,,,,,,,,,,,,,,RPS,Internet publication
The Long Run Blog: The financing of the rebuilding of London after the Great Fire,,,,https://ehs.org.uk/the-financing-of-the-rebuilding-of-london-after-the-great-fire/,,"Stephenson J, Coffman D, Sussman N",,,,,,,,,,,,,,,,,RPS,Internet publication
Sensing the City: Young People and Regeneration in London,,,,,,Lipietz B,,,,,,,,,,,,,,,,,RPS,Internet publication
MSc UDP and Just Space audio map launched as tool to amplify diverse community voices in London,,,,,,"Lipietz B, Wickson T",,,,,,,,,,,,,,,,,RPS,Internet publication
Social Impact Assessment in London Planning (YELP) Report: MSc UDP Collaborates with the Just Space network,,,,,,"Lipietz B, Wickson T",,,,,,,,,,,,,,,,,RPS,Internet publication
Youth Engagement in London Planning (YELP) Report: MSc UDP Collaborates with the Just Space network,,,,,,"Lipietz B, Levy C, Wickson T",,,,,,,,,,,,,,,,,RPS,Internet publication
MSc Urban Development Planning students present London project findings during workshop,,,,,,"Lipietz B, Wickson T",,,,,,,,,,,,,,,,,RPS,Internet publication
Radical Scholars Working with London’s Council Estates Residents on Alternative Visions,,,,,,Sendra P,,,,,,,,,,,,,,,,,RPS,Internet publication
This is what London's Heathrow airport would look like as a futuristic city,,,,,,"Holberton T, Frenzan C",,,,Mayor Boris Johnson wants to transform one of the world's busiest airports: three architecture firms imagine wildly different results,,,,,,,,,,,,,RPS,Internet publication
London’s First Speciality Matcha Bar Extends Tottenham Court Road Stay,,,,,,"Nunn J, Holberton T",,,,,,,,,,,,,,,,,RPS,Internet publication
"Alumni Stories: Ιnterview with Stelios Giamarelos, Associate Professor in History & Theory of Architecture, The Bartlett School of Architecture UCL [in Greek: Στέλιος Γιαμαρέλος, αναπληρωτής καθηγητής Ιστορίας και Θεωρίας της Αρχιτεκτονικής, The Bartlett School of Architecture, University College London (UCL)]",,,,,,Giamarelos S,,,,,,,,,,,,,,,,,RPS,Internet publication
London’s pocket parks: UCL is helping Islington Council create green spaces to improve urban health and climate resilience,,,,,,Turcu C,,,,,,,,,,,,,,,,,RPS,Internet publication
The effect of external lighting conditions on pedestrian flows in London,,,,,,"Unwin J, Symonds P",,,,,,,,,,,,,,,,,RPS,Poster
Mapping climate disadvantage for London’s care provision,,,,http://healthycitydesign2018.salus.global/conference-show/healthy-city-design-2018,,"Mavrogianni A, Oikonomou E, Raslan R, Dennett A",,,,,,,,,,,,,,,,,RPS,Poster
Celebrating Diversity at the London LGBTQ+ STEM Conference 2023,,,,,,"Rila L, Leech V, Bautista J, Garcia-Moreno H, Orr S, Owen R",,,,,,,,,,,,,,,,,RPS,Poster
"A Study of the Spatial Characteristics of The Jews in London 1695 & 1895, Thesis (Masters.MSc).",,,,,,Vaughan L,,,,,,,,,,,,,,,,,RPS,Thesis / Dissertation
Degeneration/Regeneration in King's Cross,,"King's Cross (51.5323954, -0.1230224)",,,,Campkin B,,,,,,,,,,,,,,,,,RPS,Thesis / Dissertation
"Dirt, blight and regeneration: a study of urban change in London",,,,,,Campkin B,,,,,,,,,,,,,,,,,RPS,Thesis / Dissertation
"Inhabiting the image: architecture and social identity in the post-industrial city.  The case of the Brunswick, London",,,,,,Melhuish C,,,,,,,,,,,,,,,,,RPS,Thesis / Dissertation
The Blog and the Territory: placing hyperlocal media and its publics in a London neighbourhood,,,,,,Bingham-Hall J,,,,"Accounts of communication technology use in neighbourhood life tend to foreground either media or space and treat the other as a backdrop. As a result, there is much research on the way neighbourhoods become the content of media and how media could be instrumentalised to improve local communities, but there is a lack of synthesis of media and built environment research allowing a nuanced understanding of the role of communication technology in neighbourhood life. This thesis addresses this gap in knowledge by developing a richer set of interlinked concepts and methods than that which is currently available to describe urban communications. Existing theoretical frameworks are expanded upon through critical development of a number of approaches to ‘placing’ the main hyperlocal news blog for one neighbourhood: mapping the locations it discusses; analysing the geographical and network characteristics of its social media network; and the development of grounded theory about the use of media in the neighbourhood through qualitative interviews.
The main arguments hold that even at the hyperlocal scale, theories of the national public sphere can help understand the way that imaginaries of place are formed through media; that a focus on subjective imaginaries and non-instrumental storytelling enables a better description of hyperlocal media use than on its instrumental value; and that neighbourhoods should be described as communication ecologies formed of multi-modal actor-networks of people, places, and technologies, rather than as separate spatial and virtual realities. The findings are largely methodological, demonstrating the possibility of placing media by mapping the issues it frames; of illustrating links between spatial morphology and the distribution of issues and social media networks; of using qualitative data to spatialize theories of the formation of the public sphere; and a proposition for a new method for building a socio-technical interaction network demonstrating the structure of the hyperlocal communication ecology.",,,,,,,,,,,,,RPS,Thesis / Dissertation
Sustainability as the success of a centre over time: the case of Greater London’s suburbs,,,,,,"Griffiths S, Vaughan L, Haklay M, Sahbaz O",,,,"29-31 August 2007

Abstract
This paper argues that the concept of ‘sustainability’ is best approached in terms of the factors favourable to the persistence of socio-economic activity in a given centre over time. It suggests that the question of how some places are able to‘re-invent’ themselves over successive historical periods lies at the heart of what sustainability actually means.

The absence of a strong definition of sustainability, often misinterpreted as an exclusively environmental term, has impeded proper understanding of the temporality it strongly implies. This is particularly true in the field of urban design where the relation of the built environment to socio-economic change is poorly theorised and rarely integrated into methodology.

This issue is addressed in this paper by drawing on preliminary research conducted by the EPRSC’s Successful Suburban Town Centres project which runs for three years at UCL. A critical examination of the literature of sustainability and an evaluation of relevant time-series datasets provided the basis for an heuristic methodology able to distinguish a wide range of ‘successful’ suburban town centres. The methodology comprises a series of filters and sorting criteria employing socio-economic, geographical, historical and morphological data, backed up with fieldwork where necessary and integrated into a GIS.

The selection process produced a sample of suburban centres all of which may be considered to be ‘successful’ in the sense that they continue to function effectively despite histories of socio-economic change and physical transformation. The explanation for this appears to lie in their distinctive combinations of socio-economic diversity and morphological robustness. For this reason it is asserted that the long-term ‘success’ of these suburban centres should be considered as a prerequisite rather than an outcome of ‘sustainability’ which is too abstract a term to sufficiently articulate the particularities of place.",,,,,,,,,,,,,RPS,Conference abstract/presentation slides
Some Theoretical and Methodological Implications of Space Syntax Methodology for Historical GIS: the example of Greater London's suburban town centres,,,,,,"Griffiths S, Jones CE, Haklay M, Vaughan L",,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
A morphological approach to the persistence of socio-economic activity in three suburbs of Greater London.,,,,,,"Griffiths S, Jones CE, Vaughan L, Haklay M",,,,4 - 7 September 2009,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
The Olympics 2012 Learning Legacy Agenda and the Emergence of a London Development Model,,,,,,"Clifford BP, Raco M, Moore S",,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
"Older LGBT Londoners at home: Ageing, homophobic inequality and homemaking",,,,,,Pilkey BS,,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
Queering home in London: Researching domesticity and sexual identity,,,,,,Pilkey BS,,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
‘Willing to lie about how we met’: LGBT Londoners rejecting sexualised technologies,,,,,,Pilkey BS,,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
‘Here home’ / ‘there home’: Two locations of home for LGBT Londoners,,,,,,Pilkey BS,,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
‘A gay plumber?’ The queering of London’s homes by tradespeople,,,,,,Pilkey BS,,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
"It may be an international sign, but it’s just ‘not a London thing’: The rainbow flag in London’s gay village",,,,,,Pilkey BS,,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
The ambiguous allure of 'the right to the city': Reflections from London,,,,,,"Lipietz B, Drozdz M",,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
Spatial Justice and the London Olympics: Whose Convergence?,,,,,,"Lipietz B, Drozdz M",,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
Integrating community engagement and wayfinding principles into the development of a walkability index for London,,,,,,"Dhanani AN, Vaughan L, Boniface S, Anciaes P, Scholes S, Mindell J",,,,"Measuring the walkability of urban environments through the analysis and evaluation of physical environmental characteristics has gained wide acceptance as a method for assessing the potential for physical activity and active transport to take place. This research enhances standard walkability models with fieldwork that actively engages with the community to understand the factors that shape everyday mobility and walking behaviours. Amongst several factors, public transport accessibility was added as a spatial variable that contributes to walkability, whilst walkable land uses were selected to be appropriate to the specific (UK) context.
 
The model also incorporates an advanced method to evaluate the spatial structure of the street network instead of the standard approach of measuring intersection density. Here, space syntax network analysis methods are used, that examine the spatial relationship across the street network at a range of scales by looking at the geometric relationships between spaces. This method more closely accounts for spatial cognition and human wayfinding principles in the way that it uses the actual pedestrian routes taken through the urban environment as the basis for the evaluation of the street network. This method of assessing street network properties holds the potential for improving both walkability studies, and associated health research. It also aims to increase the awareness of the planning profession of the importance of the spatial arrangement and connectivity of the built environment in shaping walking behaviours, and enabling populations to live healthier lives through higher levels of active transport and physical activity.",,,,,,,,,,,,,RPS,Conference abstract/presentation slides
Tall building management in London: success or failure in enhancing the character of London?,,,,,,Short MJ,,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
"Community severance from major roads: Can we measure its effects on determinants of health? Lessons from Finchley Road, London, UK.",,,,,,"Mindell JS, Jones P, Haklay M, Scholes S, Groce N, Vaughan L",,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
At home with LGBTQ Londoners: Heteronormativity and everyday politics,,,,,,Carnell BS,,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
"Subverting domesticity: Heteronormativity, homemaking and sexual minorities in London",,,,,,Carnell BS,,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
Architectural history meets queer theory: The queering of heteronormativity in London’s homes,,,,,,Carnell BS,,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
London as art industry cluster,,,,,,Son JW,,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
"Restoring street connectivity across the Great West Road in Hounslow, London",,,,,,Anciaes P,,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
"Determinants of Satisfaction, Loyalty and Landlord Advocacy amongst Private Rented Sector Tenants at East Village, London",,,,,,Sanderson DC,,,,"Over the past five years, the private rented sector has become a significant asset class for institutional investors in the UK. One of the main determinants of returns from residential investment property is the income obtained from tenants’ rent. Income return is affected by several factors, including residents’ satisfaction and their loyalty (in renewing their lease). The ease with which a landlord can let vacant property also depends upon their reputation, the desirability of the neighbourhood, the rental terms and the properties themselves.
This paper analyses almost 5000 interviews with PRS tenants in the UK, conducted over a four-year period, to investigate determinants of resident satisfaction, loyalty (lease renewal) and willingness to recommend their landlord. Statistical analysis is performed using respondents’ ratings of satisfaction with many aspects of their occupancy as explanatory variables. Comparisons are made between interviewees who renew their lease and those who do not renew.  
The research finds that “ease of doing business” with their landlord is a strong predictor of residents’ satisfaction, loyalty and advocacy. Other key indicators for lease renewal include relationship management, rent collection and value for money. Tenants’ willingness to recommend their landlord depends mainly on their relationship with their landlord, how the landlord compares with tenants’ previous landlords, and the property management service they receive.
This research should help to improve the landlord – tenant relationship in the Private Rented Sector",,,,,,,,,,,,,RPS,Conference abstract/presentation slides
Urban heat vulnerability mapping: working with a London Borough to translate research outputs,,,,,,"Mavrogianni A, Taylor J, Shrubsole C, Symonds P, Chalabi Z, Davies M, Wilkinson P, Palmer T, O'Connell E, Thompson R, Bone A, Figueiredo A",,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
"Mapping climate disadvantage for care provision in London, UK: a sociospatial heat vulnerability assessment",,,,,,"Oikonomou E, Raslan R, Dennett A, Taylor J, Symonds P, Mavrogianni A",,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
Using Solid-Phase Microextraction Gas Chromatography Mass Spectrometry (SPME-GC/MS) and Fourier Transform Infrared (FTIR) Spectroscopy for the Analysis of Modern Polymeric Materials in Historic Collections: A Case Study of Handbags in the Museum of London,,,,,,"Curran K, Moore A, Verri G, Gibson L, Strlic M",,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
Participatory system dynamics and health impact modelling for green infrastructure in London,,,,http://healthycitydesign2018.salus.global/uploads/media/conference_lecture_presentation/0001/15/9ce79fd0222102d032aa7f090168c7c0ba079a9c.pdf,,"Zimmermann N, Symonds P, Davies M, Dianati K, Wilkinson P",,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
Revealing local economies in suburban London: Developing effective methodologies to support planning policy,,,,,,"Jones E, Ferm J, Edwards M",,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
"Urban densification and Housing Development: a critical investigation of the sustainability, place and property-development agendas in Stockholm and London",,,,,,Turcu L,,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
"Governing urban densification and urban expansion: spatial insights into climate, housing and health action in Greater London",,,,,,Turcu L,,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
"The extended workplace: urban settings for creative production in “Silicon Roundabout”, London",,,,,,Martins J,,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
"The extended workplace: space and creative production in “Silicon Roundabout”, London",,,,,,Martins J,,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
"Re-framing creative cities research: lessons from the spatiality of digital production in Tech City, London",,,,,,Martins J,,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
"Spaces of structured interaction in the digital industry: the role of events in Tech City, London",,,,,,Martins J,,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
"Immaterial products, material spaces: the role of the neighbourhood in creative digital production, Silicon Roundabout, London",,,,,,Martins J,,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
Acoustic environments and Soundscapes in London during the Spring 2020 Lockdown,,,,,10.1121/10.0004423,"Kang J, Aletta F, Oberman T, Mitchell A, Tong H",,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
"605 Socio-political determinants of health inequalities during the COVID-19 pandemic: Under 5s and their families living in temporary accommodation in a socially diverse and deprived population—Newham, East London",,,,,10.1136/archdischild-2022-rcpch.116,"Rosenthal DM, Ucci M, Hayward A, Teakle A, O’Toole S, Whitaker L, Hauari H, Hollingworth K, Cameron C, Schoenthaler A, Lakhanpaul M, Lewis C, Heys M",,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
"The London Metropolitan Archives. Invited to lead a workshop, “Queer Inheritances”,",,,,,,"Pilkey BS, Carnell B",,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
"Material reward: Supply chains, labour and money in the rebuilding of London after the Great Fire (1666)",,,,https://www.vub.be/arch/backyard/gallery/projects/sympo-re-building-brussels/FY106C_08_Judy_Stephenson_-_Material_reward.pdf,,Stephenson J,,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
How did living in temporary accommodation during the COVID-19 pandemic affect children younger than 5 years' access to health care and health outcomes? A qualitative study of key professionals in a socially and ethnically diverse and deprived area of London,,,,,,"Rosenthal DM, Heys M, Schoenthaler A, Hayward A, Ucci M, Lewis C",,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
Towards a 'Post Pandemic' Plan for London,,,,,,"Lipietz B, Lee R",,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
Towards the public transport city. An exploration of transport mode choice for residents living in Underground station areas in Beijing and London.,,,,,,"Cao M, ZHANG Y, Cheng L, Ling Y, De Vos J",,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
Towards the public transport city. An exploration of transport mode choice for residents living in Underground station areas in Beijing and London,,,,,,"Cao M, Zhang Y, Cheng L, Ling Y, De Vos J",,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
Reflections on co-creating design-led innovations for London’s Recovery Programme,,,,,,"Moore G, Salvia G, Tung S, Johnson J, Pluchinotta I, Zimmermann N, Dewfield S, Davies M",,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
"Transformative, Open Innovation Policies: Designing London's Recovery Programme",,,,,,"McLaren J, Moore G",,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
London Calling? Knowledge industries of the Greater Southeast of England,,,,,,Reades J,,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
Mapping the `Space of Flows': the geography of global business telecommunications and employment specialisation in the London Mega-City Region,,,,,,Reades J,,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
Permitted Development & the Pandemic: Unanticipated Consequences of  Shrinking Homes in London,,,,,,"Walter H, Hubbard P, Reades J",,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
"Stakeholders’ Perspectives on the London Housing Market:  Trade-offs, Unintended Consequences and Perverse  Incentives of Policy Interventions",,,,,,Sanderson D,,,,,,,,,,,,,,,,,RPS,Conference abstract/presentation slides
"Amman, Bar Elias, Athens, Chengdu, Hargeysa, London",,,,,,,,,,,,,,,,,,,,,,,RPS,Journal (Full / Special issue)
"Jerusalem, Nicosia, London",,,,,,,,,,,,,,,,,,,,,,,RPS,Journal (Full / Special issue)
"Beirut, Barcelona, Palermo, London",,,,,,,,,,,,,,,,,,,,,,,RPS,Journal (Full / Special issue)
"Santiago, Beirut, Mostar, London",,,,,,,,,,,,,,,,,,,,,,,RPS,Journal (Full / Special issue)
"Medellin, Beirut, London",,,,,,,,,,,,,,,,,,,,,,,RPS,Journal (Full / Special issue)
Collaborative Mapping of London Using Google Maps: The LondonProfiler,,,,,,"Mateos P, Longley P, Milton RW, Gibin M, Singleton A",,,,,,,,,,,,,,,,,RPS,Working/Discussion Paper
"Online participation: The Woodberry Down Experiment, Centre for Advanced Spatial Analysis (CASA), University College London",,,,,,"Hudson-Smith A, Evans S, Batty M, Batty S",,,,,,,,,,,,,,,,,RPS,Working/Discussion Paper
Rethinking Prosperity for London: When Citizens Lead Transformation,,,,,,"Woodcraft S, Anderson B",,,,,,,,,,,,,,,,,RPS,Working/Discussion Paper
Looking for Work? Or Looking for Workers? Days and Hours of Work in London Construction in the Eighteenth Century,,,,,10.2139/ssrn.3128189,Stephenson JZ,,,,,,,,,,,,,,,,,RPS,Working/Discussion Paper
