Theme (KEF Themes),Title,Memory Mapper Title (keywords to identify the project) (should include the research content,Project Location - In London,Date,Link,Identification- DOI/URL/ISBN/Reference no.,Authors,London Authors,Other Author (National+International),Department,Abstract,Partners,Partnership Location - In London,Partnership,Policy Sources////Citations ( from Overton),Policy source subcategory,Partnership 1,Partnership 2,Partnership 3,Partnership 4,Filter 2 (Themes),Funder 1,Funder 2,Funder 3,Source,Type of Work (phD/masters),Column,Column2,Column3,Column4,Column5,Column6,Column7
,"Housing supply, investment demand and money creation: A comment on the drivers of London’s housing crisis",A comment on the drivers of London’s housing crisis,London ,"Monday, 27 March 2017",https://discovery.ucl.ac.uk/id/eprint/1546192/1/Gallent_Housing_supply_investment_demand.pdf,10.1177/0042098017705828,Dan Durrant|Neil May|Nick Gallent,,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","This commentary examines the current emphasis on supply-side solutions to the housing crisis in England – building more homes to increase accessibility – against a backdrop of intensifying demand-side pressures, the financialisation of housing, and the impact of credit liberalisation and money creation on housing demand and prices. It reflects on the need to balance additional housing supply, where needed, with gradual ‘demand management’ responses that at last acknowledge the centrality of spatially unbounded investment demand and the flow of money created by deregulated banks into housing as fundamental to the current crisis of housing affordability and access.",,,,,,,,,,Planning and Policy,,,,REF 2021,,,,,,,,
,Inhabitant actions and summer overheating risk in London dwellings,Inhabitant actions and summer overheating risk in dwellings,London,"Friday, 12 August 2016",https://discovery.ucl.ac.uk/id/eprint/1508661/,10.1080/09613218.2016.1208431,Anna Mavrogianni|Ayub Pathan|Eleni Oikonomou|Phill Biddulph|Phil Symonds|Mike Davies,,,[UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR)],"An indoor overheating assessment study of 101 London dwellings during summer 2009 is presented. The study included building surveys, indoor dry bulb temperature monitoring and a questionnaire survey on occupant behaviour, including the operation of passive and active ventilation, cooling and shading systems. A theoretical London housing stock comprising 3456 combinations of building geometry, orientations, urban patterns, fabric retrofit and external weather was simulated using the EnergyPlus thermal modelling software. A statistical meta-model of EnergyPlus was then built by regressing the independent variables (simulation input) against the dependent variables (overheating risk). The monitoring and questionnaire data were analysed to explore the relationship between self-reported behaviour and overheating, and to test the meta-model. The monitoring data indicated that London homes and, in particular, bedrooms are already at risk of overheating during hot spells under the current climate. Around 70% of respondents tended to open only one or no windows at night mainly due to security reasons. An improvement in the coefficient of determination (R2) values between measured temperature and meta-model predictions was obtained only for those dwellings where occupants reported actions that were in line with the modelling assumptions, thus highlighting the importance of occupant behaviour for overheating.",,,,Government,legislative research,,,,,Health,,,,REF 2021,,,,,,,,
,"London’s Local High Streets: the problems, potential and complexities of mixed street corridors","Problems, potential and complexities of mixed street corridors",London ,"Wednesday, 2 July 2014",https://www.sciencedirect.com/science/article/pii/S0305900614000439,10.1016/j.progress.2014.03.001,Matthew Carmona,,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","This paper examines the ‘problem’ of mixed street corridors through the lens of London's local high streets (main streets). It theorises the nature of these streets, developing an analytical framework through which to investigate them through their four high street functions – physical fabric, exchange, movement and real estate – and the overarching question of management. It then explores the challenges and issues facing such streets in British cities before turning specifically to the London case. Through a complimentary set of empirical investigations, London's local high streets are explored across two scales, in terms of their strategic city-wide contribution, and through their local impact. They are examined both with regard to their situation today and their future potential. The policy context across London is also, explored, before conclusions and recommendations are drawn out of relevance to London and to mixed street corridors across the world. Mixed streets represent a particularly ‘wicked’ problem for cities, yet, as the research shows, they are also some of the most important spaces in the city, of far greater complexity and local significance than is realised, and possessing untapped strategic growth potential.",,,,"Think tank, Government, IGO",university affiliated,,,,,Planning and Policy,,,,REF 2021,,,,,,,,
Working with the public and third sector,Monitoring summer indoor overheating in the London housing stock,Monitoring summer indoor overheating in the London housing stock,London,,https://discovery.ucl.ac.uk/id/eprint/1550175/,10.1016/j.enbuild.2017.02.049,A Pathan|Alex Summerfield|Anna Mavrogianni|Martin Davies|Tadj Oreszczyn,,,[UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR)],"In light of current climate change projections in recent years, there has been an increasing interest in the assessment of indoor overheating in domestic environments in previously heating-dominated climates. This paper presents a monitoring study of overheating in 122 London dwellings during the summers of 2009 and 2010. Dry Bulb Temperature and Relative Humidity in the main living and sleeping area were monitored at 10 min intervals. The ASHRAE Standard 55 adaptive thermal comfort method was applied, which uses outdoor temperature to derive the optimum indoor comfort temperature. It was found that 29% of all living rooms and 31% of all bedrooms monitored during 2009 had more than 1% of summertime occupied hours outside the comfort zone recommended by the standard to achieve 90% acceptability. In 2010, 37% of monitored living rooms and 49% of monitored bedrooms had more than 1% of summertime occupied hours outside this comfort zone. The findings of this study indicate that London dwellings face a significant risk of overheating under the current climate. Occupant exposure to excess indoor temperatures is likely to be exacerbated in the future if climate change adaptation strategies are not incorporated in Building Regulations, building design and retrofit.",Local participants,London,Public research survey,Government,,Anonymous Public Engagement,,,,Sustainability,Engineering & Physical Sciences Research Council (EPSRC),,,REF 2021,,,,,,,,
,Multifractal to monofractal evolution of the London street network,Evolution of the london street network,London,"Tuesday, 1 December 2015",https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://discovery.ucl.ac.uk/1473098/1/EE11357.pdf&ved=2ahUKEwiisPLA16uHAxURVkEAHdV-D1wQFnoECBoQAQ&usg=AOvVaw2V8JMalkJbKhw0KI7MJZnw,10.1103/PhysRevE.92.062130,"Roberto Murcio (Centre for Advanced Spatial Analysis (51.521981,-0.136035))||A. Paolo Masucci||Elsa Arcaute (UCL Energy Institute, The Bartlett School of Environment Energy and Resources, University College London (51.526804,-0.129844))||Michael Batty (UCL Energy Institute, The Bartlett School of Environment Energy and Resources (51.526804,-0.129844))",,,"Bartlett Centre for Advanced Spatial Analysis  (51.5219612121582,-0.13562574982643127)","Fractal patterns repeat themselves over different length scales: If you zoom in on one small portion of a fractal, you’ll find a motif nearly identical to the pattern as a whole. They can be hypnotic to look at, but fractals are more than just pretty pictures. Their geometry can describe a plethora of structures, from the branching of blood vessels and brain cells to the shapes of rivers and coastlines. Roberto Murcio and collegues at University College London, UK, now demonstrate how London’s fractal network of streets has changed from being multifractal, scaling spatially according to multiple rules, to monofractal, with a single scaling rule.

The researchers analyzed nine digitized maps of London from 1786 to 2010 using a statistical approach that estimates the number of street intersections within the city. They found that from 1786 to 1920 the city was multifractal, that is, it had a heterogeneous distribution of street intersections with just as many areas having a lot as having only a few. After 1920, the network gradually lost its multifractality, and by 2010 it had become nearly monofractal with a homogeneous distribution dominated by regions with multiple intersections. The authors argue that the loss of multifractality was caused by the “green belt” of countryside around the city, which was introduced in the mid-1950s to contain urban sprawl. This led to the network only being able to expand by filling in the space delimited by the belt. While it’s unclear whether a monofractal city is functionally better than a multifractal one, or vice versa, these findings provide a step towards understanding the consequences of urban-growth policies on the morphology of modern cities.",,,,,,,,,,Planning and Policy,Economic and Social Research Council (ESRC),,,REF 2021,,,,,,,,
,Network Criticality and the Node-Place-Design Model: Classifying metro station areas in Greater London,Classifying metro station areas in Greater London,Greater London,"Monday, 1 July 2019",https://journals.aps.org/pre/abstract/10.1103/PhysRevE.92.062130,10.1016/j.jtrangeo.2019.102485,"Yuerong Zhang (The Bartlett School of Planning, University College London (51.5268702,-0.1298614))||Stephen Marshalla(Centre for Advanced Spatial Analysis (51.521981,-0.136035)||Ed Manleyb (Centre for Advanced Spatial Analysis (51.521981,-0.136035)",,,"Bartlett Development Planning Unit (51.524936,-0.130021)","Centralisation of activities and developments around metro station areas is a key transit-oriented development (TOD) policy to encourage more public transport travel through providing maximum access to passengers, thereby enhancing economic efficiency, health, well-being and social inclusion. The node-place-design model is an analytical approach, which investigates the interaction between land use, transportation and the walking friendliness around station areas. Nevertheless, current research focuses on the role station areas plays at the local scale, and little consideration is given to the strategic network (system) level. In this research, we combine a strategic network indicator (criticality) with the node-place-design model to gain deeper insights into London metro station areas in terms of their transit-oriented-development at both local and system levels. Our research has three principal findings: first, most of station areas in Greater London show balanced situations between transport and land use development, except for some stations with a non-walking friendly environment such as Victoria station. Second, the two-tier approach finds that the system criticality of each station area can vary substantially even within the same cluster grouped by the original node- place-design model. Therefore, identifying station groups with relatively high network criticality and relatively low node-place-design score is of potential value. The promising transport connection and less-developed conditions of those station areas could help policymakers locate an intensification- diversification TOD group. Conversely, locations with high node-place-design values but low criticality could point to stations suitable for network expansion (new lines or interchanges). Third, the result reconfirms the value of introducing the third dimension – design – into the TOD evaluation of stations at the local scale. The relatively low correlation between node and design value is consistent with previous findings that a transport service-intensive and functionally diverse metro station area does not necessarily produce an accessible friendly walking environment. Overall, the paper provides a platform for further studies integrating strategic network and node-place-design attributes.",,,,,,,,,,Planning and Policy,,,,REF 2021,,,,,,,,
Public and community engagement,Playing for the Future: Using Codesign Games to Explore Alternative Sanitation Systems in London,Using Codesign Games to Explore Alternative Sanitation Systems,London,"Friday, 27 December 2019",https://www.academia.edu/51724380/Playing_for_the_Future_Using_Codesign_Games_to_Explore_Alternative_Sanitation_Systems_in_London,10.17645/up.v4i4.2338,Tse-Hui Teh,,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","Public participation is viewed as a best practice in planning, and yet most people who participate in it (planners included) often feel that it is a cynical box-ticking exercise. Citizen participation rates are usually low, implying that they may feel this way too. There are two good reasons for this feeling: On the one hand, public consultation often only occurs when it is a mandatory exercise required by government for development approval; on the other, when public consultation occurs it is after much time and effort has been invested by professionals to develop a scheme therefore change is made reluctantly or not at all. These factors create a reactionary and adversarial atmosphere during consultation. These structural limitations mean that there is no time to find alignment of interests between project developers and the public, or to develop trust and collaborations. This article explores how codesign games as a form of public participation can be done at an early stage of project development to contribute to finding alignment of interests and collaborations between project developers and different public interests. The empirical case study is focussed on the possibilities for the retrofit of sustainable sanitation systems in London. Three future sanitation systems were developed by 14 workshop participants. They demonstrate new alignments of interests, from methods of collection and treatment, to new economies of reuse and production. It also established reasons why the current water-based sanitation systems are obdurate, and the work involved in keeping the status quo.","Centre for Codesign Research, Royal Danish Academy of Fine Arts",https://adk.elsevierpure.com/en/organisations/center-for-codesign-research,Co-Design,,,Co-design,,,,Social Sciences and Humanities,UCL Grand Challenges,,,REF 2021,,,,,,,,
Working with business,Project capabilities for operational outcomes in inter-organisational settings: The case of London Heathrow Terminal 2,Project capabilities for operational outcomes in inter-organisational settings,"London Heathrow Terminal 2 (51.469722747802734,-0.4496561884880066)","Saturday, 3 February 2018",https://discovery.ucl.ac.uk/id/eprint/10045131/,10.1016/j.ijproman.2018.01.004,Vedran Zerjav|Andrew Edkins|Andrew Davies,,,"Bartlett School of Sustainable Construction (51.521897,-0.134542)","Project and strategic management scholarship recognises the importance of project capabilities that allow firms to deliver projects. Although work on project capabilities is a fast-growing line of inquiry, little is still known about how clients assemble project capabilities to achieve operational outcomes in inter-organisational settings. This study seeks to apply theoretical work on project capabilities to the domain of infrastructure project delivery in order to understand how the assembly of project capabilities in temporary inter-organisational settings contributes to the delivery of operational outcomes. The empirical enquiry takes place in the context of the delivery of London Heathrow Terminal 2. Through an inductive theory building approach drawing upon semi-structured interviews with client-side project leadership, internal documents, publicly available data and ongoing engagement with the field, we identified three key capability-enabling mechanisms that help explain the genesis of project capabilities in inter-organisational settings: (1) reconfiguring project capabilities, (2) adapting project capabilities and (3) maintaining project capabilities. We discuss and expand these findings by engaging with theoretical ideas from project studies, and mainstream strategy, organisation, and management research to induce a dynamic model that can be helpful to guide future research, policy and management practices relating to the client side management of project capabilities.",Phil Wilbraham|Sally Blackwell ,"Heathrow Airport Limited (51.480875,-0.468932)",Research Support ,,,Research support,,,,Design,Economic and Social Research Council (ESRC),Engineering & Physical Sciences Research Council (EPSRC),,REF 2021,,,,,,,,
,Re-Creating Organizational Routines to Transition Through the Project Life Cycle: A Case Study of the Reconstruction of London’s Bank Underground Station,Re-Creating Organizational Routines to Transition Through the Project Life Cycle,"Bank Underground Station (51.513347,-0.089)","Thursday, 1 October 2020",https://discovery.ucl.ac.uk/id/eprint/10115430/,10.1177/8756972820943436,Simon Addyman|Stephen Pryke|Andrew Davies,,"Andrew Davies, Science Policy Research Unit (SPRU), University of Sussex Business School, Jubilee Building, Falmer, Brighton BN1 9SN (50.86747127939498, -0.08994358654659496)","Bartlett School of Sustainable Construction (51.521897,-0.134542)","This article provides new insights into the project life cycle by proposing an alternative image to the predefined time boundary between life cycle stages. It makes a theoretical contribution by identifying how project organizations re-create patterns of action—organizational routines—as they transition through life cycle stages. It presents the findings of an autoethnographic empirical study and, through the lens of routine dynamics, contributes to the project management literature by identifying a five-stage process model of transitioning and the generative mechanisms involved in re-creating patterns of action.",,,,,,Co-authorship with other partner(s),,,,Construction and Engineering,,,,REF 2021,,,,,,,,
,Relational Regulation and Chinese Real Estate Investment in London: Moving Beyond the Territorial Trap,Relational Regulation and Chinese Real Estate Investment in London,London,,https://discovery.ucl.ac.uk/id/eprint/10108279/,10.1080/21622671.2020.1837224,Mike Raco|Yixiang Sun|Frances Brill,,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","National governments, urban authorities, and supra-national bodies increasingly see the provision of new housing as a core priority. There has been a strong emphasis on reforming the regulatory environments that exist within geographical territories and making them more welcoming to inward investment. However, such outlooks we claim often fall into a territorial trap and give too much prominence to the regulations and policy environments found in recipient destinations. The paper argues instead for a more recursive focus on the ways in which decisions taken in ‘source’ and ‘host’ locations need to be understood as part of a mutually-constitutive system of governance. Using the example of Chinese residential investment into London, it argues that investment trends, processes and outcomes reflect a recursive combination of regulatory and political changes in both the city and within China, with the latter becoming increasingly influential. As we show, the Chinese Communist Party has been exerting greater control over the activities of Chinese real estate enterprises and what products are ‘permitted’ for investment and how this should be done. The paper reflects on the implications of for recent academic and policy writings on urban territorial competition.",,,,,,,,,,Planning and Policy,Economic and Social Research Council (ESRC),,,REF 2021,,,,,,,,
,"Seeing Like an Investor: Urban Development Planning, Financialisation, and Investors’ Perceptions of London as an Investment Space","Urban Development Planning, Financialisation, and Investors’ Perceptions of London",London ,"Tuesday, 26 March 2019",https://discovery.ucl.ac.uk/id/eprint/10070629/,10.1080/09654313.2019.1598019,Daniel Durrant|Mike Raco|Nicola Livingstone,,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","There is a growing orthodoxy that since the global financial crisis European policy-makers and planning systems have become more dependent on inward investment and the availability of global finance to fund welfare services and projects. This process of financialisation, it is claimed, is driven by the needs of developers and investors, who are focused on maximising returns and limiting their social and economic liabilities. Planning agencies and traditional territory-based arrangements are viewed with increasing suspicion, as standing in the way of investment and acting as a brake on much needed house-building and regeneration. However, in this paper, drawing on detailed research with investors and developers in London, we argue that there needs to be a stronger focus in academic and policy writing on the multiple, variegated, and diverse calculations and framings that private sector actors take when making investment decisions. Too often their perspectives are caricatured and/or over-simplified. We show that perspectives and imaginations of planning and regulation are more complex and that many firms have realised that market success results from becoming more deeply embedded in the local political, social, and regulatory environments in which they are investing. A greater understanding of these multiple forms of calculation, in turn, opens up opportunities for the maintenance and/or implementation of more effective forms of territorially-based soft and hard regulation. The paper concludes by outlining a broader research agenda for planning and urban studies.",,,,IGO,United Nations Human Settlement Programme,,,,,Planning and Policy,,,,REF 2021,,,,,,,,
Research partnerships,Shortest path or anchor-based route choice: a large-scale empirical analysis of minicab routing in London,A large-scale empirical analysis of minicab routing in London,Central London,"Sunday, 1 February 2015",https://discovery.ucl.ac.uk/id/eprint/1462729/1/1-s2.0-S0966692315000083-main.pdf,10.1016/j.jtrangeo.2015.01.006,E.J. Manley|J.D. Addison|T. Cheng ,"""1. Addison Lee Limited
2. J.D. Addison and
T. Cheng 
1. 51.4161376953125,-0.2117673009634018
2. UCL Civil, Environmental & Geomatic Eng, (51.523569,-0.132424)""",,"Bartlett Centre for Advanced Spatial Analysis  (51.5219612121582,-0.13562574982643127)","Understanding and modelling route choice behaviour is central to predicting the formation and propaga- tion of urban road congestion. Yet within conventional literature disagreements persist around the nat- ure of route choice behaviour, and how it should be modelled. In this paper, both the shortest path and anchor-based perspectives on route choice behaviour are explored through an empirical analysis of nearly 700,000 minicab routes across London, United Kingdom. In the first set of analyses, the degree of similarity between observed routes and possible shortest paths is established. Shortest paths demon- strate poor performance in predicting both observed route choice and characteristics. The second stage of analysis explores the influence of specific urban features, named anchors, in route choice. These analyses show that certain features attract more route choices than would be expected were individuals choosing route based on cost minimisation alone. Instead, the results indicate that major urban features form the basis of route choice planning – being selected disproportionately more often, and causing asymmetry in route choice volumes by direction of travel. At a finer scale, decisions made at minor road features are furthermore demonstrated to influence routing patterns. The results indicate a need to revisit the basis of how routes are modelled, shifting from the shortest path perspective to a mechanism structured around urban features. In concluding, the main trends are synthesised within an initial framework for route choice modelling, and presents potential extensions of this research.",Addison Lee Limited|,"51.4161376953125,-0.2117673009634018
",Data support,,,Data support,Co-authorship with academic partner(s),,,Planning and Policy,Economic and Social Research Council (ESRC),Transport for London (TfL),,REF 2021,,,,,,,,
